Município,Processo,Prestadora,NC,Descrição,Status,Categoria
PENEDO,E:49070.0000002946/2025,ADS,NC 65,Sinais de infiltração no reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 64,Guarda-corpo da escada de acesso em processo de corrosão,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 63,Ausência de guarda-corpo na laje de coberta,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 62,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 61,Ancoragem da tampa do reservatório danificada,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 60,Tampa sanitária do poço danificada,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 59,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 58,Ausência de limpeza e capinação no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 57,Ausência de identificação e sinalização,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 56,Tampa sanitária do poço danificada,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 55,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 54,Ausência de limpeza e capinação,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 53,Ausência de identificação e sinalização,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 52,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 51,Vazamento na tubulaçõa do poço,Repasse,Hidráulico
PENEDO,E:49070.0000002946/2025,ADS,NC 50,Cercamento danificado,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 35,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 36,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 37,Ausência de cercamento,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 38,Ausência de Macromedidor na saída dos reservatórios,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 39,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 40,Ausência de Identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 41,Ausência de limpeza e capinação do perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 42,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 49,Ausência de porta de acesso ao poço,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 48,Cercamento danificado,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 47,Ausência de porta de acesso ao poço,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 46,Ausência de macromedidor,Repasse,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 45,Ausência de limpeza e capinação do perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 44,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 14,Excesso de vegetação no perímetro dos reservatórios,Repasse,Estrutural
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 01,Ausência de tarifa atualizada,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 02,Ausência de tabela de preços dos serviços prestados,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 03,Ausência de ventilação natural ou artificial no almoxarifado,Repasse,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 04,Ausência de placa de identificação da concessionária,Pendente,Ausência de Identificação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 05,Falta de Plano de Perdas físicas,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 06,Excesso de vegetação,Pendente,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 07,Ausência de cercamento na área,Pendente,Estrutural
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 08,Falta de limpeza na área,Pendente,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 09,lançamento inadequado da água de lavagem,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 10,Ausência de plano de combate às perdas,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 11,Excesso de vegetação,Pendente,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 12,Falta de manutenção no tanque de sucção,Pendente,Outros
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 13,excesso de vegetação,Pendente,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 14,Falta de identificação,Pendente,Ausência de Identificação
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 08,Armazenamento inadequado de produtos químicos,Sanado,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 07,Inexistência de almoxarifado para armazenamento de produtos químicos,Sanado,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 06,Presença de bolhas na água durante a filtração,Sanado,Outros
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 05,Descarga inadequada da água de lavagem dos filtros,Sanado,Outros
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 04,Excesso de lodo nos filtros,Sanado,Outros
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 03,Excesso de lodo na etapa de decantação de fluxo horizontal,Sanado,Outros
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 02,Presença de vegetação excessiva ao redor da elevatória,Sanado,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001822/2024,CASAL,NC 01,Excesso de vegetação na captação,Sanado,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 16,Falta de identificação,Pendente,Ausência de Identificação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 15,Excesso de vegetação,Pendente,Limpeza e Conservação
PAULO JACINTO,E:49070.0000001820/2024,ADS,NC 17,Falta de limpeza da área,Pendente,Limpeza e Conservação
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 66,Ausência do macromedidor na saída do poço,Sanado,Medição e Aferição
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 44,Excesso de vegetação no perímetro do poço,Pendente,Limpeza e Conservação
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 28,Ausência de identificação no poço raso,Pendente,Ausência de Identificação
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 26,Ausência do abrigo da motobomba periférica,Pendente,Elétrico
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 69,Ausência do dispositivo de cloração,Sanado,Estrutural
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 70,Ausência da laje de proteção na base do poço,Pendente,Segurança
PASSO DE CAMARAGIBE,E:49070.0000000073/2024,CASAL,NC 71,Ausência do macromedidor na saída do poço,Sanado,Medição e Aferição
